This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:    72836
Number of nonzeros in inequality constraint Jacobian.:     7800
Number of nonzeros in Lagrangian Hessian.............:    74161

Total number of variables............................:    20847
                     variables with only lower bounds:     3912
                variables with lower and upper bounds:    16935
                     variables with only upper bounds:        0
Total number of equality constraints.................:    16912
Total number of inequality constraints...............:     3900
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:     3900
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 143 1.9864792e-002 8.02e-005 1.45e-006  -7.0 1.75e-001  -5.4 1.00e+000 1.00e+000h  1
 144 1.9864632e-002 1.06e-004 7.49e-005  -7.0 4.18e-001  -5.8 1.00e+000 3.33e-001h  2
 145 1.9864511e-002 1.09e-004 1.17e-004  -7.0 3.69e-001    -  1.00e+000 2.69e-001h  2
 146 1.9864453e-002 1.50e-004 1.70e-006  -7.0 2.08e-001    -  1.00e+000 1.00e+000h  1
 147 1.9864411e-002 3.19e-007 1.81e-008  -7.0 7.52e-003    -  1.00e+000 1.00e+000h  1

Number of Iterations....: 147

                                   (scaled)                 (unscaled)
Objective...............:  1.9864410793255120e-002   1.9864410793255120e-002
Dual infeasibility......:  1.8083677503203915e-008   1.8083677503203915e-008
Constraint violation....:  1.0332522631939511e-007   3.1894244045815867e-007
Complementarity.........:  9.0930101379239444e-008   9.0930101379239444e-008
Overall NLP error.......:  1.0332522631939511e-007   3.1894244045815867e-007


Number of objective function evaluations             = 194
Number of objective gradient evaluations             = 148
Number of equality constraint evaluations            = 194
Number of inequality constraint evaluations          = 194
Number of equality constraint Jacobian evaluations   = 148
Number of inequality constraint Jacobian evaluations = 148
Number of Lagrangian Hessian evaluations             = 147
Total CPU secs in IPOPT (w/o function evaluations)   =     24.290
Total CPU secs in NLP function evaluations           =     21.146

EXIT: Optimal Solution Found.
      solver  :   t_proc      (avg)   t_wall      (avg)    n_eval
       nlp_f  |  22.00ms (113.40us)  22.16ms (114.23us)       194
       nlp_g  |   2.50 s ( 12.88ms)   2.50 s ( 12.87ms)       194
  nlp_grad_f  |  64.00ms (429.53us)  63.50ms (426.16us)       149
  nlp_hess_l  |  10.83 s ( 73.65ms)  10.83 s ( 73.66ms)       147
   nlp_jac_g  |   7.65 s ( 51.34ms)   7.65 s ( 51.33ms)       149
       total  |  45.44 s ( 45.44 s)  45.44 s ( 45.44 s)         1
Computation time solving OCP: 72.2553 s
